Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Count,Latitude,Longitude
*JASMINE,CAT,SIAMESE,SEAL PT,Spayed,SMALL,12/9/2012,K14-011986,CS04,A314687,12/6/2014,12/16/2014,10,STRAY,COMM CAT,ADOPTION,REFERRAL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
,DOG,BOXER,WHITE,Female,MED,,K18-030665,DS74,A380352,11/18/2018,11/30/2018,12,STRAY,FIELD,TRANSFER,BOXBUD,UNKNOWN,PENDING,COUNTY,OUT OF COUNTY,89440.0,1,39.31148,-119.6493
*MISTY,CAT,DOMESTIC SH,WHITE/GRAY,Spayed,KITTN,7/18/2018,K18-030375,LOBBY,A376171,10/23/2018,12/11/2018,49,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,*PETALUMA,COUNTY,95446.0,1,38.50204,-122.99739
JACE,DOG,PIT BULL,BR BRINDLE,Male,LARGE,,K19-032086,DQ112,A378377,4/30/2019,5/11/2019,11,QUARANTINE,FIELD_OS,EUTHANIZE,AGGRESSIVE,UNKNOWN,UNTREATABLE,SANTA ROSA,SANTA ROSA,95409.0,1,38.46417,-122.67071
*DOUGAL,CAT,DOMESTIC MH,BRN TABBY,Neutered,KITTN,8/1/2018,K18-030426,LOBBY,A378593,10/27/2018,11/2/2018,6,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,95461.0,1,38.752,-122.6154
HAKU,DOG,PIT BULL/LABRADOR RETR,BLACK,Male,LARGE,2/25/2021,K22-040850,DS49,A410301,3/5/2022,4/1/2022,27,OWNER SURRENDER,OVER THE COUNTER_OS,TRANSFER,HSSC,UNKNOWN,HEALTHY,COUNTY,COUNTY,95407.0,1,38.41483,-122.72707
,CAT,DOMESTIC SH,GRAY/WHITE,Male,KITTN,4/12/2015,K15-013939,RECEIVING,A321608,5/12/2015,5/12/2015,0,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
COCO,DOG,CHIHUAHUA SH,FAWN,Neutered,TOY,9/13/2014,K15-012410,DA42,A315727,1/13/2015,1/21/2015,8,STRAY,OVER THE COUNTER,ADOPTION,FINDER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,1,38.45663,-122.72292
JAKE,DOG,BICHON FRISE/POODLE MIN,WHITE,Neutered,SMALL,12/28/2010,K14-009303,DA35,A307970,6/13/2014,6/28/2014,15,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94954.0,1,38.2581,-122.63753
*LIZZY,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,3/26/2019,K19-032869,WESTFARM,A389235,7/5/2019,7/23/2019,18,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,*WINDSOR,COUNTY,95436.0,1,38.47569,-122.89487
,CAT,DOMESTIC SH,WHITE/BLACK,Unknown,SMALL,8/30/2016,K16-021729,CS06,A345744,11/30/2016,12/6/2016,6,STRAY,FIELD,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
SOPHIE,DOG,BULL TERRIER,BR BRINDLE/WHITE,Female,LARGE,,K16-020704,DA24,A342285,9/9/2016,9/10/2016,1,CONFISCATE,FLD_CORONR,TRANSFER,BULL TERR,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94112.0,1,37.72573,-122.43918
TIMONE,DOG,CHIHUAHUA SH/MIX,TAN/WHITE,Neutered,SMALL,6/10/2010,K20-035943,DS95,A397838,6/10/2020,6/10/2020,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,1,38.46417,-122.67071
DIXIE,DOG,BLOODHOUND,BROWN,Spayed,X-LRG,11/22/2008,K17-023126,TRUCK,A299839,4/14/2017,4/14/2017,0,STRAY,FIELD,RETURN TO OWNER,FLD_NBR,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
WOLFGANG,DOG,POMERANIAN,WHITE/BROWN,Neutered,,12/1/2003,K19-031310,TX,A015167,1/28/2019,1/28/2019,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
RAINBOW DASH,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,8/1/2018,K18-030184,LOBBY,A377514,10/10/2018,10/19/2018,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448.0,1,38.61064,-122.86883
DBO/ZEUS,DOG,PIT BULL/BULLMASTIFF,BLUE/WHITE,Neutered,MED,9/14/2012,K14-012247,DS64,A311620,12/30/2014,12/30/2014,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
PAWS,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,8/18/2003,K15-015445,TX,A326062,8/15/2015,8/18/2015,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,*WINDSOR,*WINDSOR,95492.0,1,38.54938,-122.81321
RIGGER,DOG,PIT BULL,FAWN,Male,PUPPY,8/16/2013,K14-007449,DQ107,A299506,1/23/2014,1/23/2014,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
*SUGAR,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,6/10/2017,K17-024716,LOBBY,A356517,8/4/2017,8/25/2017,21,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,*PETALUMA,94954.0,1,38.2581,-122.63753
TYSON,DOG,BORDER COLLIE/AUST CATTLE DOG,BLACK/WHITE,Male,MED,10/15/2008,K21-037988,DS81,A402689,3/1/2021,3/2/2021,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95407.0,0,38.41483,-122.72707
*CHARLIE,DOG,POODLE MIN/MIX,WHITE/TAN,Neutered,SMALL,8/8/2017,K19-033113,DA48,A389973,7/27/2019,8/8/2019,12,STRAY,OVER THE COUNTER,TRANSFER,NBAS,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94952.0,1,38.23262,-122.64426
GABBY,DOG,PIT BULL/MIX,BROWN/WHITE,Spayed,PUPPY,7/8/2016,K16-020673,DA44,A342052,9/8/2016,9/20/2016,12,OWNER SURRENDER,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95687.0,1,38.34881,-121.97196
*JADE,CAT,DOMESTIC SH,BUFF/WHITE,Spayed,SMALL,4/21/2015,K15-014783,LOBBY,A324030,7/6/2015,12/11/2015,158,STRAY,FIELD,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95446.0,1,38.50204,-122.99739
*GROVER,CAT,DOMESTIC MH,GRAY/WHITE,Neutered,SMALL,9/4/2016,K16-021372,CS04,A344640,10/28/2016,11/8/2016,11,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492.0,1,38.54938,-122.81321
SASSY,DOG,YORKSHIRE TERR/MIX,WHITE/BLACK,Spayed,SMALL,4/12/2010,K15-012305,TRUCK,A315469,1/3/2015,1/3/2015,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95409.0,1,38.46417,-122.67071
RUFFUS,DOG,PUG/MIX,FAWN/BLACK,Neutered,SMALL,9/10/2017,K18-029360,DA21,A375176,8/5/2018,8/7/2018,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,COUNTY,95476.0,1,38.29188,-122.45728
IKAIKAH,DOG,ALASK MALAMUTE,SILVER/WHITE,Neutered,LARGE,10/31/2013,K20-036005,DS76,A397974,6/17/2020,7/2/2020,15,OWNER SURRENDER,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,TREATABLE/MANAGEABLE,*WINDSOR,OUT OF COUNTY,95008.0,1,37.2889,-121.94487
*SAM,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,4/6/2014,K14-008729,WESTFARM,A306233,5/6/2014,6/20/2014,45,STRAY,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,1,38.46417,-122.67071
MOKIE,DOG,BOXER,UNKNOWN,Female,MED,3/2/2014,K18-028266,TX,A342811,5/15/2018,5/16/2018,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_PRVS,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,*ROHNERT PARK,94928.0,1,38.34246,-122.71181
*HUSTLE,DOG,BELG MALINOIS/MIX,TAN,Neutered,MED,4/26/2021,K22-041077,DA48,A410918,4/9/2022,6/4/2022,56,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95442.0,1,38.36279,-122.5247
*BOBBY,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,8/26/2016,K16-021335,LOBBY,A344491,10/26/2016,11/3/2016,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492.0,1,38.54938,-122.81321
*JEFFREY,DOG,GERM SHEPHERD/MIX,BLACK/TAN,Neutered,MED,10/13/2021,K22-042572,DA34,A413326,9/21/2022,12/8/2022,78,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94952.0,1,38.23262,-122.64426
*MOLLY,CAT,DOMESTIC LH,GRAY/WHITE,Spayed,SMALL,3/31/2016,K17-022980,CA02,A350375,3/31/2017,6/7/2017,68,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
*LOKI,CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,SMALL,4/16/2016,K18-027762,WESTFARM,A370666,4/7/2018,4/18/2018,11,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95403.0,1,38.51311,-122.75502
*LILLY,DOG,CHIHUAHUA SH/PARSON RUSS TER,BLACK,Spayed,TOY,8/2/2014,K15-014264,DA02,A322608,6/2/2015,7/4/2015,32,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,1,38.45663,-122.72292
WHITE SOX,CAT,DOMESTIC SH,WHITE/BLACK,Spayed,KITTN,3/11/2018,K18-027817,LOBBY,A370777,4/11/2018,5/19/2018,38,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*CLOVERDALE,95425.0,1,38.8063,-123.01785
*HELEN,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,7/2/2019,K19-033602,LOBBY,A391159,9/5/2019,9/18/2019,13,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95492.0,1,38.54938,-122.81321
DAISY MAY,DOG,PARSON RUSS TER,WHITE/RED,Spayed,MED,6/30/2014,K19-034398,DS89,A316335,11/4/2019,11/14/2019,10,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,*CLOVERDALE,95425.0,1,38.8063,-123.01785
*PIERRE,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,5/13/2016,K16-018985,CS04,A384180,5/25/2016,8/12/2016,79,CONFISCATE,FLD_ARREST,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,1,38.54938,-122.81321
LOUIE,DOG,YORKSHIRE TERR,BLACK/TAN,Male,PUPPY,6/2/2016,K16-021599,SMM,A345451,11/16/2016,11/17/2016,1,STRAY,VET_HOSP,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407.0,1,38.41483,-122.72707
*BUTTERCUP,DOG,CHIHUAHUA SH,WHITE/BLACK,Spayed,SMALL,9/4/2013,K18-029719,DS56,A375777,9/4/2018,9/21/2018,17,STRAY,FIELD,TRANSFER,HSSC,UNKNOWN,PENDING,COUNTY,COUNTY,95407.0,1,38.41483,-122.72707
*MIKE,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,9/24/2015,K15-016932,LOBBY,A329905,11/30/2015,12/29/2015,29,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,1,38.54938,-122.81321
,CAT,DOMESTIC SH,CALICO,Female,KITTN,6/22/2014,K14-009924,CI01,A309295,7/22/2014,7/25/2014,3,TRANSFER,VET_HOSP,TRANSFER,HSSC,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,COUNTY,95407.0,1,38.41483,-122.72707
DIAMOND,DOG,GERM SHEPHERD,BLACK/TAN,Male,LARGE,7/6/2015,K22-040971,DS81,A389258,3/24/2022,3/24/2022,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,0,38.41483,-122.72707
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,,K18-030554,CS06,A379560,11/7/2018,11/9/2018,2,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405.0,1,38.44473,-122.68655
SISTER,DOG,CHIHUAHUA SH/DACHSHUND,TAN/WHITE,Spayed,TOY,9/8/2006,K15-015211,DA01,A324834,8/1/2015,10/16/2015,76,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
SAM,DOG,CHIHUAHUA SH,BLACK/TAN,Neutered,SMALL,7/7/2016,K18-028999,DA01,A374532,7/7/2018,7/28/2018,21,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,OUT OF COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
*SCAR,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,3/4/2018,K21-037953,CA02,A402585,2/21/2021,3/18/2021,25,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,*PETALUMA,94952.0,1,38.23262,-122.64426
*WILMA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,LARGE,7/1/2010,K14-009447,CS04,A308265,6/24/2014,7/24/2014,30,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
*WENDY,CAT,DOMESTIC MH,CHOC PT,Spayed,SMALL,5/26/2016,K16-020220,SMM,A340701,8/10/2016,10/20/2016,71,STRAY,COMM CAT,TRANSFER,FORGOTTEN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
TANK,DOG,PIT BULL,BLUE/WHITE,Male,MED,1/30/2012,K15-012630,DS64,A316344,1/30/2015,1/31/2015,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,COUNTY,COUNTY,95436.0,1,38.47569,-122.89487
CALI,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,5/17/2014,K16-018879,CS05,A337123,5/17/2016,6/29/2016,43,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95404.0,1,38.43807,-122.71247
DUKE,DOG,BLUETICK HOUND,TRICOLOR,Neutered,PUPPY,5/1/2017,K17-024168,DA02,A354557,6/29/2017,7/11/2017,12,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*COTATI,94931.0,1,38.32345,-122.70821
SMOKEY,CAT,DOMESTIC MH,BLK SMOKE,Spayed,KITTN,5/22/2018,K18-029144,LOBBY,A374789,7/17/2018,8/1/2018,15,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,1,38.54938,-122.81321
PLUTO,DOG,CHIHUAHUA SH,WHITE/BLACK,Male,TOY,2/6/2013,K21-037841,DS94,A402374,2/6/2021,2/9/2021,3,STRAY,PHONE,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
DOMINO,DOG,LABRADOR RETR/MIX,YELLOW,Neutered,LARGE,3/2/2008,K16-017313,TRUCK,A308404,1/2/2016,1/2/2016,0,STRAY,FIELD,RETURN TO OWNER,FLD_PRVS,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928.0,1,38.34246,-122.71181
MANGO,DOG,AUST SHEPHERD/MIX,BLACK/TAN,Neutered,MED,6/12/2004,K14-009278,DS94,A307927,6/12/2014,6/14/2014,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94709.0,1,37.87777,-122.27138
POPPY,CAT,DOMESTIC LH,ORG TABBY/WHITE,Neutered,SMALL,1/1/2008,K17-022501,CI02,A348173,2/10/2017,2/25/2017,15,QUARANTINE,OVER THE COUNTER_STRAY,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNTREATABLE,TREATABLE/MANAGEABLE,*SEBASTOPOL,*SEBASTOPOL,95472.0,1,38.40179,-122.82512
LLUVIA,DOG,GERM SHEPHERD,BLACK/BROWN,Spayed,MED,9/6/2009,K18-029959,TX,A328433,9/21/2018,9/21/2018,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401.0,1,38.45663,-122.72292
*JAMES,CAT,DOMESTIC MH,BRN TABBY,Neutered,SMALL,5/29/2015,K15-015240,LOBBY,A324885,8/4/2015,8/13/2015,9,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95409.0,1,38.46417,-122.67071
PILOT,DOG,LABRADOR RETR/MIX,BLACK,Spayed,MED,4/4/2015,K16-020815,DA04,A342501,9/20/2016,10/8/2016,18,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,COUNTY,95472.0,1,38.40179,-122.82512
ROSCOE,DOG,FOX TERR SMOOTH/MIX,BROWN,Neutered,SMALL,4/9/2004,K14-007273,DS58,A301252,1/6/2014,1/7/2014,1,TRANSFER,PRIV_SHELT,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407.0,1,38.41483,-122.72707
*ELISA,CAT,SIAMESE,LYNX PT,Spayed,KITTN,4/17/2016,K16-018873,LOBBY,A337116,5/17/2016,6/17/2016,31,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928.0,1,38.34246,-122.71181
HUNTER,DOG,SIBERIAN HUSKY,BLACK/WHITE,Neutered,MED,2/3/2014,K21-037981,DS74,A347929,2/26/2021,2/26/2021,0,STRAY,PHONE,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,COUNTY,95403.0,1,38.51311,-122.75502
*HOMER,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,4/4/2021,K21-038540,CA03,A404871,5/19/2021,6/9/2021,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
MEATBALL,DOG,FRENCH BULLDOG,FAWN,Male,SMALL,11/6/2015,K21-038140,DS96,A393477,3/27/2021,4/8/2021,12,OWNER SURRENDER,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,1,38.45663,-122.72292
,DOG,PIT BULL,FAWN,Neutered,PUPPY,6/2/2015,K15-015002,DQ117,A324479,7/17/2015,8/14/2015,28,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,SANTA ROSA,OUT OF COUNTY,94037.0,1,37.54249,-122.5149
GORDY,DOG,CHIHUAHUA SH/MIX,BLACK/WHITE,Neutered,SMALL,11/7/2013,K16-021311,DA04,A344446,10/26/2016,11/15/2016,20,STRAY,VET_HOSP,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,85332.0,1,34.16306,-112.84628
DAISY,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,6/11/2011,K14-008463,LOBBY,A305362,4/15/2014,6/13/2014,59,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
RIDER,DOG,LABRADOR RETR/MIX,BLACK/WHITE,Neutered,LARGE,7/25/2012,K15-015094,DA33,A322282,7/25/2015,9/11/2015,48,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,HSSC,HEALTHY,HEALTHY,COUNTY,COUNTY,95407.0,1,38.41483,-122.72707
,DOG,GERM SHEPHERD/MIX,BLACK/TAN,Male,PUPPY,4/14/2018,K18-028286,DI101,A372612,5/17/2018,5/19/2018,2,STRAY,OVER THE COUNTER,TRANSFER,DOGWOOD,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
,CAT,DOMESTIC SH,BLACK/WHITE,Male,SMALL,,K19-031815,CS05,A385887,3/29/2019,3/30/2019,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,*WINDSOR,*WINDSOR,95492.0,1,38.54938,-122.81321
POLAR BEAR,DOG,GERM SHEPHERD,WHITE,Male,LARGE,2/11/2018,K19-031915,DS78,A399090,4/11/2019,4/11/2019,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,HEALTHY,HEALTHY,COUNTY,COUNTY,95404.0,1,38.43807,-122.71247
OREO,DOG,PIT BULL/MIX,BLACK/WHITE,Female,MED,6/15/2014,K15-015930,DQ118,A315140,9/12/2015,9/29/2015,17,QUARANTINE,FLD_STRAY,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,COUNTY,COUNTY,95407.0,1,38.41483,-122.72707
VOODOO,DOG,CAIRN TERRIER,BLACK,Neutered,SMALL,,K19-034644,DS72,A393896,11/23/2019,11/23/2019,0,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409.0,1,38.46417,-122.67071
BEAR DOG,DOG,LABRADOR RETR/MIX,YELLOW,Male,SMALL,,K19-033557,DS64,A381972,9/2/2019,9/3/2019,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95401.0,1,38.45663,-122.72292
GINGER,DOG,YORKSHIRE TERR,BROWN/BLACK,Female,SMALL,6/1/2005,K18-027950,TRUCK,A371103,4/24/2018,4/24/2018,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,COUNTY,*ROHNERT PARK,94928.0,1,38.34246,-122.71181
BANDIT,CAT,SNOWSHOE,SEAL PT,Neutered,SMALL,4/19/2015,K16-017500,CS05,A332213,1/19/2016,1/29/2016,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95405.0,1,38.44473,-122.68655
TOOTSIE,DOG,PARSON RUSS TER/MIX,CREAM,Male,SMALL,12/24/2018,K19-034246,DS57,A393297,10/24/2019,10/26/2019,2,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,BACS,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94710.0,1,37.85103,-122.2962
*GEORGE,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,9/15/2018,K18-030731,LOBBY,A380858,11/27/2018,12/1/2018,4,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,95461.0,1,38.752,-122.6154
HAMILTON,DOG,POODLE MIN/MIX,WHITE,Neutered,SMALL,7/21/2010,K20-036228,DS57,A229011,7/18/2020,10/14/2020,88,OWNER SURRENDER,OVER THE COUNTER_OWNED,ADOPTION,VOLUNTEER,UNKNOWN,TREATABLE/MANAGEABLE,COUNTY,COUNTY,95476.0,1,38.29188,-122.45728
BEAR,DOG,AUST SHEPHERD,BROWN/WHITE,Male,MED,11/1/2014,K16-021076,DS74,A343266,10/7/2016,10/8/2016,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95476.0,1,38.29188,-122.45728
BOO,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,3/15/2007,K16-018075,CI02,A334347,3/15/2016,3/15/2016,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,1,38.46417,-122.67071
CLOEY,DOG,BORDER COLLIE,BLACK/WHITE,Spayed,MED,1/1/2006,K16-019178,TRUCK,A030997,6/6/2016,6/6/2016,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
SKYE,DOG,RHOD RIDGEBACK,BROWN,Female,MED,,K22-041178,DS86,A411212,4/25/2022,4/29/2022,4,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,COUNTY,COUNTY,95448.0,1,38.61064,-122.86883
BRUSKI,DOG,BEAGLE/MIX,TAN,Male,MED,,K15-016032,DS96,A327114,9/18/2015,9/23/2015,5,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407.0,1,38.41483,-122.72707
